Model,CV_Accuracy_Mean,CV_Accuracy_Std,CV_Precision_Mean,CV_Precision_Std,CV_Recall_Mean,CV_Recall_Std,CV_F1_Mean,CV_F1_Std,CV_ROC_AUC_Mean,CV_ROC_AUC_Std
Logistic Regression,0.8471088435374149,0.009976921631744011,0.8767529146045769,0.054190324098361047,0.783399209486166,0.045917899546111016,0.8245007436109558,0.006866722884370779,0.9024931590148981,0.01443995119614911
Random Forest,0.8180272108843537,0.030944670864501127,0.8280931677018634,0.030929407263155028,0.7644268774703556,0.09825454143494039,0.7905079559363526,0.0484767128140537,0.8927119579293492,0.029261836138582718
K-Nearest Neighbors,0.8221938775510204,0.02878172123831296,0.8232264410781035,0.0310624210030139,0.7826086956521738,0.08928782891865628,0.7989255189255189,0.04262412957404089,0.8711814353118701,0.03872557627791424
Decision Tree,0.7272959183673469,0.044074860905919624,0.7171066555277081,0.06209942993951186,0.6743083003952568,0.08609345315338271,0.6921736758231369,0.057773945516525406,0.7863064873934439,0.02649456250121752
